,Date,Open,High,Low,Close,Volume,VZO
237,2023-04-01 05:30:00-05:00,7.57,7.57,7.57,7.57,0.0,-1.5110617185701969
238,2023-04-01 05:45:00-05:00,7.578,7.588,7.578,7.588,14.79,26.438789606286356
239,2023-04-01 06:00:00-05:00,7.588,7.588,7.588,7.588,0.0,26.438789606286356
240,2023-04-01 06:15:00-05:00,7.557,7.557,7.535,7.535,1.4,22.198573953964818
241,2023-04-01 06:30:00-05:00,7.535,7.535,7.535,7.535,0.0,22.198573953964818
242,2023-04-01 06:45:00-05:00,7.534,7.534,7.516,7.516,17.94,-22.27216870396138
243,2023-04-01 07:00:00-05:00,7.516,7.516,7.516,7.516,0.0,-22.27216870396138
244,2023-04-01 07:15:00-05:00,7.516,7.516,7.516,7.516,0.0,-22.272168703961384
245,2023-04-01 07:30:00-05:00,7.516,7.516,7.516,7.516,0.0,-22.272168703961384
246,2023-04-01 07:45:00-05:00,7.516,7.516,7.516,7.516,0.0,-22.27216870396138
247,2023-04-01 08:00:00-05:00,7.516,7.516,7.516,7.516,0.0,-22.272168703961377
248,2023-04-01 08:15:00-05:00,7.525,7.525,7.525,7.525,35.17,54.43770094869558
249,2023-04-01 08:30:00-05:00,7.516,7.516,7.516,7.516,3.32,44.55937156380635
250,2023-04-01 08:45:00-05:00,7.516,7.516,7.516,7.516,0.0,44.55937156380636
251,2023-04-01 09:00:00-05:00,7.519,7.522,7.515,7.515,42.54,-30.87095168747096
252,2023-04-01 09:15:00-05:00,7.513,7.513,7.486,7.491,28.47,-50.72549414466143
253,2023-04-01 09:30:00-05:00,7.5,7.5,7.456,7.461,113.87,-78.81092424791274
254,2023-04-01 09:45:00-05:00,7.498,7.499,7.496,7.497,180.0,12.330768690004621
255,2023-04-01 10:00:00-05:00,7.489,7.497,7.483,7.497,103.16,34.43143842637934
256,2023-04-01 10:15:00-05:00,7.497,7.497,7.497,7.497,0.0,34.43143842637933
257,2023-04-01 10:30:00-05:00,7.468,7.468,7.468,7.468,0.71,34.1216252586395
258,2023-04-01 10:45:00-05:00,7.471,7.471,7.471,7.471,1.0,34.367440002945195
259,2023-04-01 11:00:00-05:00,7.491,7.491,7.491,7.491,0.71,34.5674561756227
260,2023-04-01 11:15:00-05:00,7.513,7.53,7.513,7.526,89.35,54.64001648484958
261,2023-04-01 11:30:00-05:00,7.526,7.526,7.526,7.526,0.0,54.64001648484958
262,2023-04-01 11:45:00-05:00,7.49,7.49,7.442,7.443,237.97,-25.930117842393855
263,2023-04-01 12:00:00-05:00,7.443,7.443,7.443,7.443,0.0,-25.930117842393848
264,2023-04-01 12:15:00-05:00,7.443,7.443,7.443,7.443,0.0,-25.93011784239385
265,2023-04-01 12:30:00-05:00,7.468,7.468,7.468,7.468,0.71,-25.6301146922437
266,2023-04-01 12:45:00-05:00,7.468,7.468,7.468,7.468,0.0,-25.630114692243698
267,2023-04-01 13:00:00-05:00,7.468,7.468,7.468,7.468,0.0,-25.630114692243698
268,2023-04-01 13:15:00-05:00,7.468,7.468,7.468,7.468,0.0,-25.630114692243698
269,2023-04-01 13:30:00-05:00,7.468,7.468,7.468,7.468,0.0,-25.6301146922437
270,2023-04-01 13:45:00-05:00,7.487,7.494,7.487,7.494,6.66,-20.139300852145638
271,2023-04-01 14:00:00-05:00,7.494,7.512,7.494,7.501,8.17,-13.139996802383688
272,2023-04-01 14:15:00-05:00,7.471,7.471,7.471,7.471,55.17,-40.25888658537363
273,2023-04-01 14:30:00-05:00,7.471,7.471,7.471,7.471,0.0,-40.258886585373624
274,2023-04-01 14:45:00-05:00,7.471,7.471,7.471,7.471,0.0,-40.258886585373624
275,2023-04-01 15:00:00-05:00,7.507,7.517,7.507,7.517,10.31,-28.72161913000369
276,2023-04-01 15:15:00-05:00,7.517,7.517,7.517,7.517,0.28,-28.390676029094305
277,2023-04-01 15:30:00-05:00,7.517,7.538,7.517,7.538,18.62,-7.2357714621086515
278,2023-04-01 15:45:00-05:00,7.538,7.538,7.538,7.538,0.0,-7.235771462108651
279,2023-04-01 16:00:00-05:00,7.513,7.52,7.513,7.52,22.57,-26.720975581860323
280,2023-04-01 16:15:00-05:00,7.51,7.511,7.51,7.511,97.91,-64.27852317481577
281,2023-04-01 16:30:00-05:00,7.511,7.511,7.511,7.511,0.0,-64.27852317481577
282,2023-04-01 16:45:00-05:00,7.511,7.511,7.511,7.511,0.0,-64.27852317481579
283,2023-04-01 17:00:00-05:00,7.511,7.511,7.511,7.511,0.0,-64.2785231748158
284,2023-04-01 17:15:00-05:00,7.525,7.525,7.525,7.525,26.58,-31.778620683847517
