,index,Date,Open,High,Low,Close,Volume,Slope,Intercept,Upper_Deviation,Lower_Deviation,Correlation,HH,LL,K,D,Crossover,VZO
57,72,2023-03-30 12:45:00-05:00,1769.01,1771.12,1766.44,1770.05,764.0921,-0.08947519437245456,1798.893572750833,1817.3571999919259,1780.4299455097403,0.4271500746366108,1798.42,1762.49,21.04091288616736,16.26099959288157,0,-15.398897493292173
58,73,2023-03-30 13:00:00-05:00,1769.83,1772.09,1767.04,1770.47,524.2965,-0.11314209552017762,1799.4615783783784,1818.7117419217295,1780.2114148350272,0.4235552285454204,1796.7,1762.49,23.326512715580268,21.02348642611368,0,-0.6417641012415454
59,74,2023-03-30 13:15:00-05:00,1769.8,1773.25,1768.91,1773.25,189.8184,-0.13192005689900416,1799.9185087719297,1819.7065600651215,1780.130457478738,0.423977599255187,1796.7,1762.49,31.452791581408885,25.27340572771884,0,4.461932636919174
60,75,2023-03-30 13:30:00-05:00,1773.18,1775.95,1772.55,1774.74,229.8131,-0.14759111414900875,1800.30506151743,1820.5048044704586,1780.1053185644014,0.4261322102132976,1795.23,1762.49,37.41600488698838,30.73176972799251,0,10.782273083634797
61,76,2023-03-30 13:45:00-05:00,1774.87,1777.32,1773.78,1776.65,139.3181,-0.16001682527998295,1800.615704295704,1821.1027216541697,1780.1286869372384,0.4294301921616021,1792.11,1762.49,47.80553679946028,38.89144442261918,0,14.728181859936779
62,77,2023-03-30 14:00:00-05:00,1776.65,1779.09,1775.02,1778.6,157.5931,-0.16945636641839157,1800.8548393378774,1821.5258059321145,1780.1838727436402,0.43328842854738114,1792.11,1762.49,54.38892640108022,46.536822695842964,0,19.381953824865235
63,78,2023-03-30 14:15:00-05:00,1778.69,1783.46,1777.78,1782.82,189.6467,-0.1740296981499512,1800.9722215189872,1821.6729352124732,1780.2715078255012,0.4371074167896754,1792.11,1762.49,68.63605671843351,56.943506639658004,0,25.06085387957375
64,79,2023-03-30 14:30:00-05:00,1782.74,1783.98,1779.37,1780.95,165.5699,-0.1798388420065634,1801.1232592592594,1821.9043466794858,1780.342171839033,0.44101791307281607,1792.11,1762.49,62.32275489534133,61.78257933828502,0,16.774441791635052
65,80,2023-03-30 14:45:00-05:00,1780.14,1782.71,1780.0,1781.35,118.2138,-0.18470438121047875,1801.2513851249626,1822.0932254532927,1780.4095447966324,0.44485870192699206,1789.96,1762.49,68.65671641791002,66.53850934389494,0,21.08219521042976
66,81,2023-03-30 15:00:00-05:00,1781.74,1782.29,1778.77,1781.06,165.3897,-0.1893153100205701,1801.3743432265649,1822.279265321153,1780.4694211319768,0.44865608421518927,1787.57,1762.49,74.0430622009569,68.34084450473608,0,11.745073188050739
67,82,2023-03-30 15:15:00-05:00,1780.32,1785.58,1779.52,1785.29,128.5769,-0.189797657529071,1801.3873666092945,1822.246432414621,1780.528300803968,0.4516720881250188,1787.57,1762.49,90.90909090909099,77.86962317598596,0,17.45492225358128
68,83,2023-03-30 15:30:00-05:00,1785.11,1796.99,1784.76,1793.5,530.65,-0.18318770881846716,1801.2066946778714,1821.9397354991843,1780.4736538565585,0.4508736618518268,1796.99,1762.49,89.88405797101447,84.94540369368745,0,36.89658176578003
69,84,2023-03-30 15:45:00-05:00,1793.73,1798.74,1793.73,1795.09,426.3392,-0.17557807308970105,1800.9961614227088,1821.6079413403324,1780.3843815050852,0.4490851331001281,1798.74,1762.49,89.93103448275836,90.24139445428794,-1,48.205504114801904
70,85,2023-03-30 16:00:00-05:00,1795.27,1797.82,1793.46,1794.09,416.1826,-0.16914826171045813,1800.81612670409,1821.3065508490802,1780.3257025591,0.4480546679882696,1798.74,1766.44,85.60371517027833,88.47293587468373,0,23.31373720583468
71,86,2023-03-30 16:15:00-05:00,1794.31,1794.5,1790.58,1792.13,116.8353,-0.1645552963475979,1800.6859926854756,1821.0594680301724,1780.3125173407789,0.4481836182734223,1798.74,1767.04,79.14826498422748,84.8943382124214,0,16.95113609790091
72,87,2023-03-30 16:30:00-05:00,1793.46,1793.74,1790.48,1790.67,45.1379,-0.1612608749251523,1800.5915526046986,1820.8572971515348,1780.3258080578623,0.4489932338306768,1798.74,1768.91,72.94669795507893,79.2328927031949,0,14.321669945237582
73,88,2023-03-30 16:45:00-05:00,1790.32,1793.37,1790.32,1792.56,9.6391,-0.15664708886618994,1800.4577528089887,1820.609174840897,1780.3063307770806,0.44890856777753524,1798.74,1772.55,76.40320733104218,76.16605675678287,1,14.79369872098608
